RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;;;0.42;D>A2;A;АП 6 -  Серебрянка-9;12345;248639;;15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
;;;;;;;0;D>B;A;АП 6 - Завод железобетонных изделий;12345;248635;;15620,16040,16042,14826,14625,14713,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;
9д;;;;;18017,;;;A>B;A;ДС Шабаны - Серебрянка-9;1234567;247241;;14746,14752,14753,14824,14825,14828,16041,15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;d1-d5 - 16.05.2019<br>d6-d7 - 01.05.2019
;;;;;;;;B>A;A;Серебрянка-9 - ДС Шабаны;1234567;247242;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,15620,16040,16042,14826,14625,14713,14744,14746;;
;;;;;;;0;A>D;A;ДС Шабаны - АП 6;67;247239;;14746,14752,14753,14824,14825,14828,16041,14712;;
;;;;;;;0.63;B2>D;A;Серебрянка-9 - станция метро '' Могилёвская'' - АП 6;67;247236;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,14712;;
;;;;;18032,;;0.63;B2>D;A;Серебрянка-9 - Автостанция "Автозаводская" - АП 6;12345;248647;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,14712;;
;;;;;18017,;;0.37;D>A2;A;АП 6 - ДС Шабаны;67;247240;;15620,16040,16042,14826,14625,14713,14744,14746;;
;;;;;;;0.59;D>B2;A;АП 6 - Серебрянка;67;247237;;15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
10;;;;2 АП;17956,;;;A>B;A;ДС Дружная - Воронянского;1234567;238269;;15914,15665,15838,15873,15878,15879,15880;;d1-d5 - 01.03.2019<br>d6-d7 - 01.03.2019
;;;;;;;;B>A;A;Воронянского - ДС Дружная;1234567;238270;;15880,15881,15874,15872,15839,15844,15914;;
11;;;;5 АП;17985,;;;A>B;A;ДС Веснянка - Маршала Лосика - ДС Веснянка;1234567;242322;;15846,204289,14554,71343,15852,15854,15856,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14857,14862,14863,14866,14869,14870,14871,14872,15154,277123,277124,277125,277317,277126,277127,205011,205012,205013,211246,58337,14874,14875,14876,14877,14878,14879,14880,14861,14856,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15855,15853,14551,204094;;d1-d5 - 13.04.2019<br>d6-d7 - 30.03.2019
;;;;;;;;B>A;A;ДС Веснянка  - ДС Веснянка;1234567;242320;;204094,15846;;
;;;;;;;0.58;A1>D;A;ДС Веснянка - Маршала Лосика - АП 5;1234567;242318;;15846,204289,14554,71343,15852,15854,15856,54537,14699,15223,15224,15225,15256,15257,15248,14593,14594,14595,14857,14862,14863,14866,14869,14870,14871,14872,15154,277123,277124,277125,277317,277126,277127,205011,205012,205013,211246,58336;;
;;;;;;;0.52;D>B1;A;АП 5 - Маршала Лосика - ДС Веснянка;1234567;242325;;277317,277126,277127,205011,205012,205013,211246,58337,14874,14875,14876,14877,14878,14879,14880,14861,14856,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15855,15853,14551,204094;;
;;;;;;;0.42;D>B2;A;АП 5 - ДС Веснянка(Янковск.);1234567;242324;;58337,14874,14875,14876,14877,14878,14879,14880,14861,14856,14679,14680,14681,15249,15254,15255,15263,15277,15278,14841,54519,15855,15853,14551,204094;;
